"itnb" "S" "rS" "E" "D" "c" "r" "TPR" "FDR" "nbSNPS" "nbADA" "s" "gamma" "envADA"
2612 200 200 40 "geo" 0.2 12 0 1 1000 5 "0.27_0.3_0.11_0.28_0.27" "0.18_0.45_0.08_0.37_0.15" "BI12.BI12.ALTI.BIO1.BI15"
2613 200 200 40 "geo" 0.2 13 0.0769230769230769 0 1000 13 "0.1_0.14_0.17_0.17_0.29_0.13_0.12_0.19_0.17_0.21_0.13_0.22_0.11" "0.49_0.15_0.28_0.17_0.05_0.17_0.24_0.31_0.3_0.03_0.5_0.47_0.22" "BI18.BIO1.ALTI.BI12.BIO8.BIO4.BI15.BIO4.BIO4.BI18.BIO2.BIO1.BIO1"
2614 200 200 40 "geo" 0.2 14 0 1 1000 17 "0.1_0.17_0.16_0.16_0.23_0.1_0.23_0.27_0.14_0.13_0.23_0.1_0.17_0.16_0.13_0.25_0.26" "0.47_0.33_0.34_0.48_0.35_0.05_0.23_0.03_0.45_0.44_0.07_0.08_0.02_0.4_0.31_0.17_0.44" "BI18.ALTI.BIO2.ALTI.ALTI.BIO2.BI12.BIO1.BIO4.BIO2.BI18.BI18.BI15.BI18.BI18.BI12.BIO1"
2615 200 200 40 "geo" 0.2 15 0.0588235294117647 0 1000 17 "0.21_0.23_0.23_0.23_0.12_0.24_0.28_0.24_0.22_0.23_0.14_0.29_0.25_0.24_0.2_0.15_0.13" "0.5_0.47_0.19_0.26_0.35_0.45_0.18_0.5_0.25_0.39_0.12_0.1_0.29_0_0.29_0.21_0.28" "BI18.BI18.BI15.BI12.ALTI.BIO8.BIO2.BI15.ALTI.BIO2.BI18.BI15.BIO4.BIO8.ALTI.BIO4.BIO1"
2616 200 200 40 "geo" 0.2 16 0 1 1000 15 "0.23_0.26_0.23_0.24_0.28_0.17_0.12_0.24_0.19_0.21_0.26_0.12_0.26_0.27_0.18" "0.03_0.35_0.13_0.05_0.4_0.29_0.02_0.34_0.44_0.3_0.42_0.48_0.31_0.16_0.32" "BI12.BIO1.BI15.BI18.BIO1.BIO8.BIO2.BIO1.ALTI.BI12.BIO1.BIO4.BIO4.BI15.ALTI"
2617 200 200 40 "geo" 0.2 17 0 1 1000 9 "0.28_0.22_0.26_0.12_0.15_0.14_0.25_0.2_0.16" "0.24_0.32_0.08_0.14_0_0.4_0.5_0.35_0" "BIO8.BIO1.BI12.BI12.ALTI.BIO2.ALTI.BI18.BIO2"
2618 200 200 40 "geo" 0.2 18 0 1 1000 17 "0.28_0.26_0.29_0.21_0.22_0.19_0.25_0.28_0.23_0.17_0.11_0.15_0.29_0.16_0.1_0.21_0.23" "0.28_0.49_0.07_0.43_0.06_0.03_0.47_0.48_0.4_0.3_0.37_0.01_0.16_0.25_0.36_0.15_0.4" "ALTI.BIO1.BI18.BIO2.BIO2.BIO2.BI15.BIO1.BI12.BI18.BI15.ALTI.BI12.BI18.BIO2.ALTI.BI12"
2619 200 200 40 "geo" 0.2 19 0 1 1000 11 "0.1_0.29_0.17_0.18_0.29_0.23_0.25_0.25_0.22_0.2_0.2" "0.22_0.45_0.17_0.33_0.36_0.06_0_0.02_0.29_0.1_0.35" "BI15.ALTI.BI18.BI12.BIO4.BI12.BIO1.BI12.BI18.ALTI.BI18"
2620 200 200 40 "geo" 0.2 20 0.0588235294117647 0 1000 17 "0.29_0.17_0.18_0.24_0.27_0.25_0.12_0.13_0.28_0.3_0.12_0.1_0.24_0.1_0.16_0.1_0.3" "0.36_0.28_0.42_0.44_0.33_0.29_0.3_0.36_0.31_0.14_0.24_0.09_0.47_0.11_0.15_0.29_0.17" "ALTI.BIO8.BIO2.ALTI.BIO4.ALTI.BIO4.BI12.ALTI.BI12.BIO4.ALTI.BIO4.BIO8.BIO8.BIO2.ALTI"
2621 200 200 40 "ran" 0.2 1 0 1 1000 17 "0.19_0.13_0.12_0.16_0.27_0.29_0.2_0.17_0.17_0.27_0.2_0.13_0.28_0.18_0.1_0.11_0.25" "0.45_0.34_0.26_0.49_0_0.42_0.17_0.25_0.05_0.01_0.11_0.39_0.19_0.47_0.34_0.05_0.17" "BI12.BIO1.BI12.BIO4.BIO1.ALTI.BI12.BIO4.BIO4.ALTI.BI12.BI18.BIO1.BIO1.ALTI.BIO2.BIO4"
2622 200 200 40 "ran" 0.2 2 0 1 1000 5 "0.24_0.26_0.3_0.27_0.12" "0_0.03_0.33_0.17_0.16" "ALTI.BIO8.BIO2.BIO4.BIO1"
2623 200 200 40 "ran" 0.2 3 0 1 1000 16 "0.2_0.27_0.24_0.2_0.14_0.26_0.25_0.22_0.18_0.2_0.25_0.16_0.26_0.11_0.16_0.29" "0.04_0.03_0.23_0.31_0.08_0.16_0.24_0.44_0.3_0.21_0.31_0.49_0.17_0.06_0.47_0.27" "BIO8.BI12.BI12.BIO4.BIO1.BI18.BI12.BIO2.BIO4.BIO8.ALTI.BIO4.BI18.BI15.BIO1.BIO2"
2624 200 200 40 "ran" 0.2 4 0 1 1000 6 "0.11_0.21_0.16_0.18_0.1_0.27" "0.42_0.43_0.18_0.42_0.5_0.05" "BIO4.BI15.ALTI.BI12.BIO8.BIO2"
2625 200 200 40 "ran" 0.2 5 0.0555555555555556 0 1000 18 "0.17_0.11_0.17_0.17_0.2_0.22_0.28_0.13_0.13_0.3_0.24_0.22_0.26_0.21_0.25_0.22_0.11_0.24" "0.22_0.49_0.15_0.06_0.24_0.47_0.19_0.44_0.45_0.44_0.07_0.37_0_0.08_0.5_0.28_0.33_0.18" "BIO2.BI15.ALTI.BIO4.BI15.BIO2.ALTI.BIO4.BIO4.BI15.BI18.BIO1.BIO8.BIO8.BI15.BIO1.BIO2.BIO1"
2626 200 200 40 "ran" 0.2 6 0.05 0 1000 20 "0.16_0.13_0.25_0.19_0.1_0.21_0.17_0.12_0.24_0.26_0.24_0.13_0.11_0.15_0.3_0.2_0.16_0.15_0.11_0.18" "0.24_0.4_0.37_0.46_0.26_0.36_0.25_0.06_0.27_0.05_0.33_0.38_0.03_0.19_0.15_0.26_0.17_0.02_0.47_0.37" "BIO2.ALTI.BIO4.BIO1.BIO4.BIO4.BIO2.BI18.BI15.BIO8.BIO2.BIO4.BI18.BI12.BIO4.BIO4.BIO2.BI15.ALTI.BI18"
2627 200 200 40 "ran" 0.2 7 0 1 1000 9 "0.12_0.2_0.2_0.13_0.25_0.18_0.18_0.3_0.13" "0.48_0.27_0.01_0.2_0.15_0.21_0.21_0.02_0.13" "BIO8.BI15.BI15.BIO2.BIO4.BI15.BIO8.ALTI.BIO2"
2628 200 200 40 "ran" 0.2 8 0 1 1000 7 "0.25_0.13_0.15_0.16_0.15_0.2_0.15" "0.49_0.18_0.35_0.26_0.06_0.38_0.48" "ALTI.BI12.BI12.BIO8.BIO8.BI15.BIO8"
2629 200 200 40 "ran" 0.2 9 0.166666666666667 0.666666666666667 1000 6 "0.17_0.26_0.21_0.28_0.1_0.21" "0_0.33_0.29_0.22_0.16_0.38" "BIO1.BI15.ALTI.BIO1.BIO4.BIO4"
2630 200 200 40 "ran" 0.2 10 0 1 1000 15 "0.22_0.3_0.24_0.19_0.23_0.26_0.14_0.22_0.13_0.12_0.16_0.26_0.2_0.11_0.2" "0.19_0.28_0.45_0.21_0.49_0.46_0.11_0.11_0.45_0.45_0.09_0.44_0.37_0.4_0.28" "ALTI.BI15.BIO1.BIO4.BI15.BI12.BI18.BI15.ALTI.BIO8.BI15.BIO8.BIO1.BI15.BI15"
2631 200 200 40 "ran" 0.2 11 0.0588235294117647 0 1000 17 "0.24_0.29_0.14_0.27_0.29_0.27_0.21_0.21_0.13_0.28_0.28_0.25_0.1_0.24_0.19_0.13_0.23" "0.18_0.07_0.13_0.16_0.5_0.3_0.13_0.01_0.43_0.34_0.3_0.44_0.04_0.06_0.13_0.29_0.13" "BI12.BIO2.BIO4.BIO8.BI15.BI12.BI15.BIO8.BIO4.BI18.BIO8.ALTI.BIO1.BI12.BIO1.BIO2.BI18"
2632 200 200 40 "ran" 0.2 12 0.125 0 1000 16 "0.12_0.11_0.13_0.1_0.26_0.29_0.14_0.12_0.11_0.21_0.19_0.3_0.29_0.23_0.28_0.18" "0.2_0.19_0.3_0.2_0.46_0.37_0.27_0_0.02_0.3_0.21_0.13_0.23_0.41_0.45_0.46" "BI18.BIO8.BI15.BIO2.BI15.ALTI.ALTI.BIO1.BI18.BI12.ALTI.BI12.BI12.ALTI.BIO8.BIO1"
2633 200 200 40 "ran" 0.2 13 0.1875 0 1000 16 "0.17_0.25_0.12_0.23_0.2_0.16_0.19_0.25_0.11_0.12_0.26_0.2_0.25_0.1_0.11_0.22" "0.05_0.36_0.01_0.07_0.5_0.11_0.5_0.23_0.11_0.06_0.27_0.22_0.07_0.09_0.01_0.06" "BI15.BIO4.BIO2.BI12.ALTI.BIO4.ALTI.BIO1.BIO8.BI15.BIO2.BIO1.BIO8.BIO1.BIO4.BI15"
2634 200 200 40 "ran" 0.2 14 0 1 1000 20 "0.27_0.19_0.23_0.13_0.24_0.3_0.19_0.3_0.21_0.29_0.14_0.3_0.18_0.1_0.15_0.3_0.2_0.23_0.28_0.12" "0.26_0.33_0.24_0.26_0.12_0.03_0.16_0.42_0.21_0.1_0.07_0.1_0.28_0.02_0.25_0.24_0.37_0.25_0.34_0.19" "BI12.BI18.BIO4.BI12.BIO1.ALTI.BI12.BI18.BIO2.BI12.ALTI.ALTI.BI15.BI15.BI18.BIO8.BI18.BIO4.BI12.ALTI"
2635 200 200 40 "ran" 0.2 15 0 1 1000 20 "0.18_0.16_0.17_0.13_0.24_0.24_0.1_0.11_0.25_0.23_0.18_0.23_0.15_0.11_0.11_0.18_0.19_0.23_0.25_0.18" "0.5_0.08_0.22_0.2_0.09_0.4_0.32_0.38_0.45_0.04_0.24_0.5_0.22_0.26_0.42_0.2_0.03_0.49_0.09_0.35" "BIO1.BIO4.BI12.BI12.BIO2.BIO2.BIO1.BIO4.BIO4.ALTI.BIO8.ALTI.BIO2.BI12.BIO8.BIO2.BIO4.BI18.BIO1.ALTI"
2636 200 200 40 "ran" 0.2 16 0 1 1000 9 "0.26_0.15_0.27_0.11_0.3_0.16_0.3_0.11_0.16" "0.45_0.05_0.18_0.36_0.11_0.3_0.12_0.49_0.23" "ALTI.BI18.BI15.BIO2.BI12.BI18.BIO2.BI15.BI18"
2637 200 200 40 "ran" 0.2 17 0 1 1000 14 "0.14_0.29_0.17_0.1_0.25_0.18_0.3_0.23_0.27_0.2_0.29_0.21_0.21_0.25" "0.31_0.33_0.39_0.48_0.25_0.34_0.36_0.4_0.08_0.34_0.35_0.32_0.49_0.5" "BI18.BIO1.BI15.BIO4.BI15.ALTI.ALTI.BI15.BI12.BIO2.BIO8.BIO8.BIO2.BI12"
2638 200 200 40 "ran" 0.2 18 0.0909090909090909 0.5 1000 11 "0.24_0.17_0.15_0.22_0.27_0.23_0.29_0.19_0.27_0.23_0.13" "0.23_0.23_0.16_0.2_0.2_0.45_0.17_0.44_0.06_0.09_0.23" "BIO8.BIO2.BI18.BIO1.BI18.BIO1.BIO1.ALTI.BI18.BIO4.BIO4"
2639 200 200 40 "ran" 0.2 19 0.105263157894737 0 1000 19 "0.14_0.26_0.14_0.13_0.1_0.15_0.12_0.19_0.22_0.19_0.21_0.24_0.16_0.13_0.26_0.25_0.23_0.23_0.14" "0.33_0.06_0.02_0.28_0.02_0.18_0.21_0.29_0.17_0.48_0.19_0.2_0.28_0.12_0.28_0.28_0.22_0.13_0.14" "BIO1.BI18.BIO2.BIO4.BI15.BIO2.BIO2.ALTI.BIO2.BIO8.ALTI.BI15.BI18.BI15.ALTI.ALTI.ALTI.BIO4.BIO4"
2640 200 200 40 "ran" 0.2 20 0.157894736842105 0 1000 19 "0.2_0.3_0.28_0.13_0.2_0.11_0.24_0.3_0.17_0.22_0.21_0.11_0.24_0.2_0.11_0.15_0.16_0.3_0.21" "0.38_0.29_0.24_0.06_0.46_0_0.11_0.12_0.25_0.16_0.03_0.02_0.45_0.31_0.21_0.25_0.49_0.22_0.07" "BIO8.BIO8.BI15.BIO4.BIO2.BI18.BIO2.BI15.BI12.BI18.BIO2.BIO1.BI12.BIO4.BI15.BIO1.BIO1.BIO4.BIO4"
2641 200 200 50 "env" 0.2 1 0 1 1000 20 "0.29_0.22_0.23_0.16_0.28_0.1_0.24_0.27_0.14_0.21_0.2_0.16_0.19_0.26_0.19_0.2_0.1_0.2_0.25_0.16" "0.32_0.41_0.02_0.05_0.35_0.12_0.11_0.04_0.13_0.28_0.37_0.29_0.18_0.5_0.5_0.18_0.14_0.08_0.5_0.04" "BI15.BIO8.ALTI.BIO4.BIO8.BIO2.BI12.BIO4.BIO2.BIO2.BI18.BI15.BI12.BIO1.BI15.ALTI.BIO4.BI15.ALTI.BI18"
2642 200 200 50 "env" 0.2 2 0 1 1000 10 "0.17_0.23_0.18_0.29_0.23_0.19_0.22_0.13_0.14_0.11" "0.29_0.2_0.42_0.45_0.04_0.48_0.04_0.36_0.24_0.29" "BI12.BIO1.ALTI.BIO8.BIO2.ALTI.BIO2.BI18.BIO4.ALTI"
2643 200 200 50 "env" 0.2 3 0 1 1000 6 "0.22_0.22_0.29_0.29_0.25_0.28" "0.38_0.49_0.41_0.13_0.15_0.36" "BI12.BI18.ALTI.BIO8.ALTI.ALTI"
2644 200 200 50 "env" 0.2 4 0 1 1000 18 "0.25_0.29_0.26_0.17_0.16_0.24_0.28_0.27_0.15_0.26_0.11_0.19_0.2_0.24_0.26_0.2_0.26_0.21" "0.11_0.01_0.5_0.28_0.43_0.15_0.17_0.11_0.37_0.38_0.33_0.44_0.49_0.17_0.02_0.47_0.26_0.33" "BIO4.ALTI.BI12.BI12.BIO8.ALTI.BIO8.BI15.BIO4.BI18.ALTI.BI18.BI15.ALTI.BIO1.BIO1.BI12.BI15"
2645 200 200 50 "env" 0.2 5 0.0714285714285714 0 1000 14 "0.14_0.3_0.15_0.12_0.23_0.26_0.11_0.3_0.1_0.22_0.2_0.11_0.2_0.25" "0.05_0.34_0.28_0.18_0.48_0.06_0.04_0.35_0.14_0.47_0.33_0.46_0.4_0.47" "BI15.BIO2.BI12.BIO8.BI18.BI18.BIO1.BIO1.ALTI.BI12.ALTI.BIO2.ALTI.BIO8"
2646 200 200 50 "env" 0.2 6 0 1 1000 9 "0.2_0.17_0.28_0.1_0.24_0.3_0.11_0.29_0.27" "0.18_0.15_0.42_0.32_0.13_0.34_0.43_0.31_0.4" "BI15.BI18.BI12.BI18.BIO2.BIO2.BI12.BI12.BIO4"
2647 200 200 50 "env" 0.2 7 0.3 0.25 1000 20 "0.1_0.27_0.22_0.12_0.25_0.12_0.23_0.13_0.26_0.16_0.24_0.13_0.11_0.14_0.13_0.3_0.2_0.26_0.18_0.2" "0.22_0.07_0.45_0.03_0.06_0.03_0.05_0.14_0.31_0.1_0.24_0.08_0.3_0.06_0.07_0.03_0.23_0.33_0.33_0.05" "ALTI.BIO8.ALTI.BI12.BI18.BIO2.BIO8.BIO1.BIO8.BIO8.ALTI.BIO1.BI15.BI12.BI18.BIO2.BI15.BI18.BI12.BIO2"
2648 200 200 50 "env" 0.2 8 0 1 1000 6 "0.21_0.17_0.24_0.12_0.12_0.27" "0.39_0.07_0.35_0.07_0.28_0.23" "BI12.BI12.BIO1.BI15.BI18.BIO2"
2649 200 200 50 "env" 0.2 9 0.15 0 1000 20 "0.27_0.17_0.12_0.16_0.27_0.15_0.12_0.24_0.19_0.21_0.22_0.3_0.17_0.21_0.28_0.3_0.12_0.15_0.21_0.13" "0.15_0.06_0.42_0.02_0.05_0.39_0.47_0.16_0.39_0.23_0.41_0.49_0.18_0.37_0.42_0.46_0.19_0.31_0.35_0.22" "BIO4.BIO8.BI12.BIO1.BIO2.BIO1.BIO4.ALTI.BIO8.BI18.BIO1.BIO4.BI18.BIO1.BI18.BIO8.ALTI.BI15.ALTI.BI12"
2650 200 200 50 "env" 0.2 10 0.181818181818182 0 1000 11 "0.12_0.21_0.25_0.12_0.15_0.23_0.27_0.3_0.1_0.1_0.26" "0.31_0.03_0.29_0.26_0.33_0.25_0.1_0.27_0.28_0.24_0.48" "BIO2.BIO2.BIO4.ALTI.BIO4.BIO4.ALTI.ALTI.BIO8.BI12.BI12"
2651 200 200 50 "env" 0.2 11 0 1 1000 12 "0.24_0.23_0.17_0.27_0.18_0.22_0.2_0.2_0.19_0.13_0.17_0.27" "0.19_0.29_0.03_0.32_0.19_0.16_0.08_0.26_0.21_0.11_0.12_0.41" "BIO4.BI18.BIO2.BI15.ALTI.BI15.BIO4.BI15.BIO1.BI18.BIO4.BIO8"
2652 200 200 50 "env" 0.2 12 0.181818181818182 0.666666666666667 1000 11 "0.11_0.13_0.22_0.13_0.26_0.16_0.12_0.17_0.3_0.22_0.3" "0.33_0.04_0.45_0.01_0.23_0.15_0.14_0.26_0.19_0.03_0.11" "BIO8.BIO8.BIO2.ALTI.BIO2.BIO2.BIO2.BI15.BI12.BIO1.BI12"
2653 200 200 50 "env" 0.2 13 0.1875 0.25 1000 16 "0.11_0.17_0.2_0.21_0.24_0.1_0.2_0.25_0.21_0.21_0.29_0.13_0.22_0.2_0.3_0.23" "0.08_0_0.03_0.21_0.01_0.5_0.39_0.46_0.1_0.08_0.11_0.13_0.25_0.36_0.17_0.47" "BI15.BI15.BIO1.BIO4.BIO2.ALTI.BI12.BIO8.BI18.ALTI.BIO4.BIO1.BI15.BI15.ALTI.BI18"
2654 200 200 50 "env" 0.2 14 0 1 1000 5 "0.23_0.22_0.19_0.28_0.26" "0.04_0.43_0.41_0.06_0.11" "BIO2.ALTI.BI18.BIO1.BIO2"
2655 200 200 50 "env" 0.2 15 0.117647058823529 0 1000 17 "0.11_0.3_0.15_0.29_0.23_0.21_0.28_0.22_0.15_0.14_0.22_0.12_0.14_0.14_0.17_0.16_0.29" "0.43_0.41_0.03_0_0.43_0.13_0.19_0.43_0.39_0.41_0.11_0.03_0.42_0.12_0.39_0.47_0.06" "BIO4.BIO1.BIO4.ALTI.BI12.BIO8.BIO2.BIO8.BIO1.BIO1.BI18.ALTI.BI15.BIO1.BIO1.BIO8.BIO1"
2656 200 200 50 "env" 0.2 16 0.111111111111111 0 1000 18 "0.29_0.22_0.29_0.3_0.13_0.29_0.2_0.29_0.25_0.16_0.14_0.21_0.28_0.12_0.18_0.26_0.24_0.2" "0.21_0.24_0.49_0.38_0.19_0.04_0.46_0.07_0.08_0.26_0.06_0.35_0.42_0.4_0.06_0.02_0.26_0.35" "BI12.BI18.ALTI.BI12.BI18.BIO2.BIO2.BIO4.BIO8.BI12.BI15.BI18.BIO1.BI15.BI15.BIO8.BIO8.BIO1"
2657 200 200 50 "env" 0.2 17 0.117647058823529 0.333333333333333 1000 17 "0.23_0.25_0.25_0.26_0.29_0.26_0.19_0.1_0.12_0.2_0.24_0.18_0.22_0.1_0.14_0.28_0.11" "0.18_0.04_0.46_0.11_0.5_0.09_0.41_0.12_0.24_0.49_0.44_0.27_0.16_0.49_0.11_0.14_0.37" "BIO8.BIO8.BIO2.BIO1.ALTI.BIO8.BI18.BI12.BIO2.BIO4.BI15.BI12.BIO2.BI12.BI18.BI15.BIO1"
2658 200 200 50 "env" 0.2 18 0.05 0 1000 20 "0.14_0.13_0.23_0.12_0.27_0.23_0.18_0.26_0.24_0.21_0.18_0.18_0.14_0.23_0.24_0.11_0.27_0.29_0.28_0.13" "0.06_0.42_0.46_0.35_0.17_0.12_0.4_0.13_0.25_0.22_0.22_0.15_0.08_0.03_0.47_0.25_0.2_0.1_0.19_0.01" "BI15.ALTI.BI12.BI18.BIO1.BIO2.BIO8.BIO8.BIO4.BIO8.BI15.BIO4.BIO2.BIO1.ALTI.ALTI.BIO1.BIO1.BI15.BIO2"
2659 200 200 50 "env" 0.2 19 0.1 0 1000 20 "0.19_0.27_0.18_0.24_0.2_0.22_0.12_0.19_0.25_0.26_0.12_0.25_0.27_0.23_0.29_0.13_0.22_0.27_0.26_0.18" "0.26_0.41_0.14_0.04_0.46_0.35_0.33_0.14_0.05_0.27_0_0.34_0.3_0.33_0.34_0.19_0.35_0.37_0.04_0.35" "ALTI.BIO2.BIO8.BIO1.BIO2.BIO8.BIO4.BIO1.BIO1.BIO2.ALTI.BI15.BIO4.BIO2.BIO2.BIO8.BIO2.BI12.BI15.ALTI"
2660 200 200 50 "env" 0.2 20 0 1 1000 11 "0.25_0.16_0.11_0.24_0.12_0.17_0.11_0.17_0.25_0.24_0.25" "0.11_0.32_0.49_0.28_0.44_0.24_0.34_0.49_0.3_0.09_0.46" "BIO2.BIO1.BIO4.BIO4.BIO8.BIO8.BIO8.BI15.BI18.BI15.BIO8"
2661 200 200 50 "geo" 0.2 1 0 1 1000 6 "0.16_0.16_0.11_0.25_0.25_0.26" "0.34_0.04_0.38_0.04_0.49_0.18" "ALTI.BIO4.BI12.ALTI.BI12.BIO4"
2662 200 200 50 "geo" 0.2 2 0 1 1000 15 "0.29_0.14_0.14_0.25_0.18_0.16_0.26_0.13_0.17_0.25_0.15_0.14_0.18_0.27_0.29" "0.02_0.09_0.15_0.09_0.28_0.46_0.38_0.27_0.44_0.24_0.48_0_0.04_0.05_0.06" "BIO4.ALTI.BIO1.BIO1.BI15.BIO1.ALTI.BI18.ALTI.BIO1.BI15.BIO8.BI12.BI18.BIO8"
2663 200 200 50 "geo" 0.2 3 0.0588235294117647 0 1000 17 "0.13_0.22_0.29_0.13_0.17_0.14_0.15_0.15_0.17_0.14_0.26_0.15_0.24_0.21_0.13_0.13_0.18" "0.31_0.32_0.3_0.43_0.17_0.05_0.25_0.43_0.03_0.31_0.15_0.08_0.03_0.22_0.42_0.05_0" "BIO4.BI15.BIO1.BI12.BI15.BIO1.ALTI.BIO1.BI18.BIO4.BIO4.BIO2.BIO8.ALTI.BIO4.BI18.BIO1"
2664 200 200 50 "geo" 0.2 4 0 1 1000 13 "0.25_0.17_0.3_0.3_0.26_0.2_0.23_0.26_0.16_0.11_0.26_0.15_0.23" "0.03_0.39_0.23_0.28_0.31_0.25_0.19_0.21_0.33_0.09_0.03_0.47_0.31" "BIO1.BI12.ALTI.BI15.BIO8.ALTI.ALTI.BI12.BI18.BIO2.BI15.BIO8.BI15"
2665 200 200 50 "geo" 0.2 5 0 1 1000 7 "0.25_0.26_0.21_0.2_0.2_0.13_0.14" "0.31_0.49_0_0.21_0.34_0.15_0.03" "BIO1.BI12.BI15.BI12.BIO1.BI15.BIO2"
2666 200 200 50 "geo" 0.2 6 0 1 1000 15 "0.23_0.2_0.21_0.15_0.24_0.29_0.22_0.28_0.23_0.13_0.2_0.3_0.3_0.29_0.21" "0.26_0.22_0.42_0.25_0.26_0.03_0.35_0.01_0.29_0.5_0.26_0.19_0.38_0.49_0.31" "ALTI.BI18.BI18.BIO4.BI15.BI18.BIO4.BIO8.BIO8.BIO8.ALTI.BIO8.BI12.BI12.BIO4"
2667 200 200 50 "geo" 0.2 7 0.0555555555555556 0 1000 18 "0.13_0.3_0.22_0.11_0.19_0.29_0.15_0.28_0.3_0.17_0.17_0.14_0.16_0.14_0.23_0.29_0.11_0.11" "0.37_0.2_0.15_0.35_0.06_0.32_0.15_0.05_0.21_0.14_0.32_0.34_0.18_0.24_0.32_0.16_0.15_0.27" "BIO2.BIO2.BI18.BIO2.BIO4.BIO1.BI15.BIO1.BI18.BIO8.BIO4.BI12.BIO4.BIO2.BIO1.BI18.BI18.BIO1"
2668 200 200 50 "geo" 0.2 8 0 1 1000 19 "0.13_0.21_0.23_0.1_0.2_0.25_0.19_0.12_0.15_0.23_0.26_0.28_0.27_0.27_0.23_0.18_0.12_0.21_0.19" "0.49_0.31_0.43_0.39_0.07_0.28_0.49_0.21_0.3_0.05_0.06_0.41_0.23_0.29_0.45_0.07_0.07_0.22_0.32" "BIO2.BI18.BIO4.BI15.BIO8.BI12.ALTI.BIO8.BIO1.ALTI.ALTI.BIO2.BI12.BI15.BI12.BI18.BIO2.BIO4.BIO8"
2669 200 200 50 "geo" 0.2 9 0 1 1000 17 "0.27_0.23_0.22_0.16_0.2_0.27_0.23_0.25_0.3_0.22_0.16_0.1_0.15_0.22_0.21_0.21_0.23" "0.49_0.27_0.42_0.21_0.3_0.38_0.01_0.01_0.03_0.32_0.03_0.4_0.47_0.24_0.03_0.24_0.37" "BIO1.BI12.BIO8.BI12.BI12.BI18.BIO4.ALTI.BI12.BI12.BI18.BI15.BIO8.ALTI.BIO2.BI12.BI15"
2670 200 200 50 "geo" 0.2 10 0.166666666666667 0 1000 12 "0.25_0.25_0.3_0.17_0.14_0.1_0.2_0.21_0.21_0.17_0.17_0.17" "0.12_0.22_0.17_0.44_0.01_0.3_0.4_0.16_0.43_0.07_0.22_0.07" "ALTI.BI15.BI18.BI15.BIO4.BIO2.BIO4.BIO2.ALTI.ALTI.BI18.BIO4"
2671 200 200 50 "geo" 0.2 11 0.0666666666666667 0.5 1000 15 "0.29_0.23_0.12_0.3_0.28_0.3_0.16_0.12_0.23_0.29_0.12_0.14_0.23_0.13_0.26" "0.36_0.17_0.24_0.23_0.39_0.03_0.46_0.26_0.03_0.1_0.12_0.46_0.19_0.49_0.47" "BIO2.BI15.BI18.BIO4.BIO8.BIO8.BI15.BIO4.BIO8.BIO8.BI12.BI12.BI15.BIO8.BI12"
2672 200 200 50 "geo" 0.2 12 0.142857142857143 0 1000 7 "0.17_0.24_0.17_0.17_0.2_0.12_0.27" "0.45_0.32_0.41_0.05_0.11_0.03_0.21" "BIO4.BI15.BI18.BIO4.BIO2.BI18.BIO1"
2673 200 200 50 "geo" 0.2 13 0 1 1000 7 "0.15_0.17_0.17_0.13_0.11_0.27_0.18" "0.03_0.25_0.06_0.4_0.25_0.19_0.02" "BIO1.BIO4.BIO2.BIO2.BIO2.ALTI.ALTI"
2674 200 200 50 "geo" 0.2 14 0.111111111111111 0 1000 9 "0.13_0.25_0.28_0.18_0.16_0.11_0.15_0.15_0.19" "0.5_0.17_0.5_0.04_0.18_0.42_0.41_0.08_0" "ALTI.ALTI.BIO1.BI12.BI15.BIO2.BI18.BIO1.BIO8"
2675 200 200 50 "geo" 0.2 15 0 1 1000 7 "0.29_0.22_0.25_0.1_0.25_0.25_0.22" "0.09_0.49_0.48_0.31_0.48_0.23_0.39" "BI15.ALTI.BIO4.ALTI.BI12.BIO4.ALTI"
2676 200 200 50 "geo" 0.2 16 0 1 1000 16 "0.16_0.24_0.22_0.12_0.18_0.11_0.13_0.3_0.12_0.14_0.11_0.12_0.23_0.1_0.17_0.19" "0.38_0.41_0.4_0.47_0.25_0.16_0.12_0.19_0.3_0.27_0.31_0.49_0.46_0.32_0.44_0.21" "BIO4.BI12.ALTI.BIO2.BI18.ALTI.BIO1.ALTI.BIO1.BI18.BI18.BIO4.BI18.BIO8.BIO1.BIO8"
2677 200 200 50 "geo" 0.2 17 0.111111111111111 0 1000 18 "0.27_0.24_0.16_0.12_0.2_0.12_0.15_0.14_0.22_0.17_0.19_0.15_0.11_0.15_0.13_0.3_0.24_0.1" "0.42_0.04_0.5_0.23_0.2_0.26_0.38_0.35_0.04_0.49_0.01_0.16_0.42_0.44_0.49_0.3_0.16_0.35" "BIO4.BIO4.BI15.ALTI.BI18.BI12.BIO4.BIO2.BI18.BIO8.BIO2.BIO4.BI15.ALTI.BIO2.BI18.BIO2.BIO8"
